QUESTIONS,ANSWERS,DIFFICULTY
What is income tax?,Income tax is money you pay to the government based on how much you earn.,Easy
What is PAYE?,PAYE (Pay As You Earn) is a system where your employer automatically deducts tax from your wages.,Easy
What is USC?,USC (Universal Social Charge) is a tax on your income that helps fund public services in Ireland.,Easy
What is PRSI?,PRSI (Pay Related Social Insurance) is a contribution that helps fund social welfare benefits like pensions and jobseeker payments.,Easy
What is a payslip?,A payslip is a document from your employer showing your earnings and deductions.,Easy
What is gross pay?,Gross pay is the total amount you earn before any taxes or deductions are taken out.,Easy
What is net pay?,Net pay is the amount you take home after all taxes and deductions.,Easy
What is a tax credit?,A tax credit reduces the amount of tax you have to pay.,Easy
What is Revenue?,Revenue is the Irish government body responsible for collecting taxes.,Easy
What is a PPS number?,A PPS number is a unique number used to access public services and for tax purposes in Ireland.,Easy
Why do I pay tax?,Taxes fund public services like healthcare education and infrastructure.,Easy
What is a deduction?,A deduction is money taken from your pay for taxes or other contributions.,Easy
Why is my net pay lower than expected?,Because of deductions like income tax USC and PRSI.,Easy
Do students have to pay tax?,Yes if they earn above certain thresholds they must pay tax.,Easy
What is MyAccount on Revenue?,MyAccount is an online portal where you can manage your taxes and claims.,Easy
What is a tax year?,In Ireland the tax year runs from January 1st to December 31st.,Easy
What is overtime?,Extra pay for working more hours than your normal schedule.,Easy
Is overtime taxed differently?,No it is taxed the same as regular income.,Easy
What is commission?,Extra earnings based on performance or sales.,Easy
Is commission taxed?,Yes it is treated as income and taxed.,Easy
What is holiday pay?,Extra pay you receive when taking annual leave.,Easy
Is holiday pay taxed?,Yes holiday pay is taxed like normal income.,Easy
What is a payslip code?,Codes used on payslips to describe deductions and payments.,Easy
Why should I understand my payslip?,It helps you ensure you are paid correctly and not overtaxed.,Easy
What is the standard rate cut-off point?,It is the amount of income that is taxed at the lower tax rate before the higher rate applies.,Medium
What is a tax band?,A tax band is a range of income taxed at a specific rate.,Medium
What are the main tax rates in Ireland?,Income is generally taxed at 20 percent and 40 percent.,Medium
What is a benefit in kind?,It is a non cash benefit from your employer like a company car that may be taxed.,Medium
What is a tax return?,A tax return is a form you fill out to report your income and claim tax credits or refunds.,Medium
What is Form 12?,Form 12 is used by PAYE workers to claim tax credits and refunds.,Medium
What is Form 11?,Form 11 is used by self employed people to report income and pay taxes.,Medium
What is tax relief?,Tax relief reduces the amount of tax you owe often for certain expenses.,Medium
Can I get a tax refund?,Yes if you paid too much tax you can claim a refund.,Medium
What is emergency tax?,Emergency tax is charged when Revenue does not have your correct details.,Medium
How do I avoid emergency tax?,Register your job with Revenue and ensure your employer has your PPS number.,Medium
What is cumulative tax?,It means your tax is calculated based on your total income from the start of the year.,Medium
What is non cumulative tax?,It means your tax is calculated only on your current pay period.,Medium
What is taxable income?,The portion of your income that is subject to tax.,Medium
What income is not taxable?,Some social welfare payments and certain scholarships may not be taxed.,Medium
What is a tax deadline?,The final date to submit tax returns or payments.,Medium
What happens if I miss a tax deadline?,You may face penalties and interest charges.,Medium
What is tax compliance?,Following tax rules and paying the correct amount on time.,Medium
What is tax avoidance?,Legally reducing your tax bill using reliefs and credits.,Medium
Can I claim for working from home?,Yes you can claim tax relief on certain home office expenses.,Medium
What is a second job tax?,Your second job may be taxed at a higher rate if not allocated credits.,Medium
How do tax credits work with two jobs?,You must split your tax credits between both jobs.,Medium
What is a payroll?,The system employers use to pay employees and calculate deductions.,Medium
What is PAYE modernisation?,A system where employers report pay and tax details in real time.,Medium
What is a tax statement?,A summary of your income and taxes paid over the year.,Medium
What is employment detail summary?,A record of your pay and tax details from your employer.,Medium
What is a tax refund timeline?,It usually takes a few days to a few weeks for Revenue to process a refund.,Medium
What is a tax credit certificate?,It shows your tax credits and rate band used by your employer.,Hard
What is a tax liability?,The total amount of tax you owe.,Hard
What is overpayment of tax?,When you pay more tax than required and are owed a refund.,Hard
What is underpayment of tax?,When you pay less tax than required and must pay the difference.,Hard
What should I do if my payslip is wrong?,Contact your employer and check your details with Revenue.,Hard
What is a tax refund claim?,It is a request to Revenue to return overpaid tax.,Hard
What is medical expense tax relief?,You can claim back a portion of qualifying medical expenses.,Hard
What is a rent tax credit?,A credit available to renters in Ireland to reduce tax owed.,Hard
What is a pension contribution?,Money you save for retirement which may also give tax relief.,Hard
Why is PRSI important?,It helps you qualify for benefits like pensions and illness payments.,Hard
What is self assessment?,A system where individuals calculate and report their own tax.,Hard
What is preliminary tax?,An advance payment of tax for self employed individuals.,Hard
What is tax evasion?,Illegally avoiding paying taxes.,Hard
What is a flat rate expense?,A fixed expense amount you can claim for work related costs.,Hard
What does Week 1 mean on a payslip?,It means non cumulative tax is being applied.,Hard
Why might I be on Week 1?,Usually due to job changes or missing information.,Hard
What is an employer tax obligation?,Employers must deduct and send taxes to Revenue.,Hard
What is a tax audit?,A review by Revenue of your financial records.,Hard
What is a tax clearance certificate?,Proof that your tax affairs are in order.,Hard
Why is PAYE modernisation important?,It ensures accurate and up to date tax records.,Hard
