What is the capital of Ireland?,easy,Dublin,Cork,Limerick,Galway,1,
Which currency is used in Ireland?,easy,Euro,Pound,Dollar,Franc,1,
How many provinces does Ireland have?,easy,4,3,6,5,1,
What is the national symbol of Ireland?,easy,Shamrock,Harp,Claddagh,Celtic Cross,1,
"Which city is known as the ""City of Tribes""?",easy,Galway,Dublin,Cork,Limerick,1,
What is the main language spoken in Ireland?,easy,English,French,Irish,German,1,
Who is the patron saint of Ireland?,easy,St. Patrick,St. George,St. Andrew,St. David,1,
Which of these is a famous Irish drink?,easy,Guinness,Heineken,Budweiser,Coke,1,
Which body of water lies to the east of Ireland?,easy,Irish Sea,Atlantic Ocean,North Sea,Celtic Sea,1,
What is Ireland's largest city?,easy,Dublin,Cork,Galway,Limerick,1,
Which of these is a tax in Ireland?,medium,Income Tax,Sales Tax,Property Tax,Wealth Tax,1,
What does PRSI stand for?,medium,Pay Related Social Insurance,Personal Retirement Savings Investment,Public Revenue System Ireland,Private Retirement Savings Insurance,1,
Which of these is a common Irish holiday?,medium,St. Patrick's Day,Independence Day,Bastille Day,Thanksgiving,1,
What percentage of income over 800 is taxed for USC?,,medium,5,2.5,3.5,4.5,1
Which of these is a student grant in Ireland?,medium,SUSI,LEAP,Jobseekers Allowance,Back to Work Enterprise Allowance,1,
Which Irish city hosts the annual Galway Races?,medium,Galway,Dublin,Cork,Limerick,1,
Which of these is a standard PRSI class?,medium,Class A,Class B,Class C,Class D,1,
How many counties are in Ireland?,medium,32,26,24,30,1,
Which of these is a common budget category?,medium,Transport,Football,Movies,Books,1,
"Which Irish actor played in ""Thor""?",medium,Chris Hemsworth,Liam Neeson,Colin Farrell,Michael Fassbender,3,
What is the VAT rate on most goods in Ireland?,medium,23,21,20,25,1,
Which of these is an Irish bank?,medium,Bank of Ireland,HSBC,Citigroup,Barclays,1,
Which document shows your monthly pay?,medium,Payslip,Invoice,Bill,Receipt,1,
Which of these is a common tax credit in Ireland?,medium,Single Person,Married Couple,Childcare,Student Loan,1,
Which of these is a voluntary pension scheme?,medium,PRSA,USC,Income Tax,Property Tax,1,
Which type of account is used for savings?,medium,Deposit Account,Current Account,Overdraft,Loan,1,
Which city is Ireland's second largest?,medium,Cork,Dublin,Galway,Limerick,1,
Which of these is a professional networking site?,medium,LinkedIn,Facebook,Instagram,TikTok,1,
Which Irish island is known for sheep farming?,medium,Achill,Skellig,Inishmore,Rahlin,1,
What is the purpose of a budget?,easy,Track income and expenses,Buy a car,Pay taxes,Get a loan,1,
Which of these is a necessary expense?,easy,Rent,Video Games,Concert Tickets,Coffee,1,
What is net pay?,easy,Salary after taxes,Salary before taxes,Overtime payment,Bonus,1,
Which of these is a fixed monthly cost?,easy,Rent,Clothes,Concerts,Movies,1,
Which of these is considered a luxury expense?,easy,Streaming service,Rent,Utilities,Groceries,1,
Which of these reduces your taxable income?,medium,Pension contributions,Lottery winnings,Rent,Shopping,1,
Which of these is a common investment for beginners?,medium,Savings account,Car,Vacation,Video games,1,
Which type of tax is charged on earnings?,medium,Income Tax,Property Tax,Capital Gains Tax,VAT,1,
What is the first step in creating a budget?,easy,List income,List expenses,Save money,Pay bills,1,
Which of these is part of a payslip?,medium,Gross pay,Favorite color,Pet's name,Hobby,1,
Which of these is a financial goal?,easy,Save for laptop,Watch TV,Go to park,Read a book,1,
Which of these is a consequence of overspending?,medium,Debt,Promotion,Raise,Lottery,1,
Which of these is a good financial habit?,easy,Track spending,Ignore bills,Spend freely,Buy lottery tickets,1,
Which of these affects your credit score?,medium,Loan repayments,Movies,Food,Clothes,1,
Which of these is a type of income?,medium,Salary,Movies,Games,Books,1,
Which of these is a tax-free allowance?,medium,Personal Tax Credit,Income Tax,VAT,PRSI,1,
Which of these is a method to reduce spending?,easy,Plan purchases,Impulse buying,Ignore bills,Spend freely,1,
Which of these is an Irish public holiday?,easy,St. Patrick's Day,Christmas,Thanksgiving,Independence Day,1,
Which of these is a retirement saving option?,medium,Pension,Car,Phone,Laptop,1,
Which of these helps track expenses?,easy,Budget Sheet,Video Games,Concerts,Coffee,1,
Which of these is a government agency for tax?,medium,Revenue,LEAP,SUSI,Bord Bia,1,
Which of these is a common work-related deduction?,medium,Income Tax,Netflix,Spotify,Coffee,1,
Which of these is a high-risk investment?,hard,Stocks,Deposit Account,Government Bond,Savings Account,1,
Which of these is an essential utility?,easy,Electricity,Video Games,Concert Tickets,Clothes,1,
Which of these is considered discretionary spending?,easy,Restaurant Meals,Rent,Utilities,Groceries,1,
Which of these is part of Ireland’s social welfare system?,medium,Jobseeker’s Allowance,Payslip,PRSA,PRSI,1,
